Name,PROVINCE,DISTRICT,COSTITUENCY,DIVISION,LOCATION,SUBLOCATIO,Level,Status,Sponsor,Longitude,Latitude,# Classrooms
JACTER KINAGOP PRI,CENTRAL,NYANDARUA,KINANGOP,NORTH KINANGOP,NORTH KINANGOP,NANDARASI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.56570,-0.50401,9
JADA SCHOOL ECD,CENTRAL,KIAMBU,,KIKUYU,KINOO,KINOO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.69460,-1.25070,0
JADO BLESSED ECD,RIFT VALLEY,UASIN GISHU,ELDORET EAST,AINABKOI,AINABKOI,KAPSENGWET,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.51652,0.15809,
JAFFERY ACA NUR  SCH,COAST,MOMBASA MUNICIPALITY,MVITA,ISLAND,GANJONI,KIZINGO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,39.67171,-4.06755,10
JAFFERY ACA PRY SCH,COAST,MOMBASA MUNICIPALITY,MVITA,ISLAND,GANJONI,KIZINGO,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,39.67171,-4.06755,16
JAFFERY ACA SEC  SCH,COAST,MOMBASA MUNICIPALITY,MVITA,ISLAND,GANJONI,KIZINGO,SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,39.67171,-4.06755,15
JAFFERY ECD,COAST,KWALE,KINANGO,SAMBURU,MACKNNON RD,MACKINNON RD,ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,39.04769,-3.72796,3
JAFFERY PRY SCH,COAST,KWALE,KINANGO,SAMBURU,MACKNNON RD,MACKINNON RD,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,39.04769,-3.72796,16
JAGAJO ECD,NYANZA,BONDO,BONDO,NYANG'OMA,S. SAKWA,NYANG'OMA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.19190,-0.20117,0
JAGIET ACADEMY (ECD),NAIROBI,NAIROBI,DAGORETTI,DAGORETTI,KAWANGWARE,KAWANGWARE,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.73820,-1.27952,3
JAGIET ACADEMY (PRI),NAIROBI,NAIROBI,DAGORETTI,DAGORETTI,KAWANGWARE,KAWANGWARE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.73820,-1.27952,17
JAGIET ACADEMY (SEC),NAIROBI,NAIROBI,DAGORETTI,DAGORETTI,KAWANGWARE,KAWANGWARE,SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.73820,-1.27952,5
JAGIET PRE-UNIT,NAIROBI,NAIROBI,DAGORETTI,DAGORETTI,RIRUTA,RIRUTA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.74022,-1.29488,3
JAGIET PRI SCH,NAIROBI,NAIROBI,DAGORETTI,DAGORETTI,RIRUTA,RIRUTA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.74022,-1.29488,10
JAGIR SINGH ECD,NYANZA,KISUMU,MUHORONI,WINAM,MIWANI,MIWANI CENRAL,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.87886,-0.04599,1
JAGIR SINGH PRI,NYANZA,KISUMU,MUHORONI,WINAM,MIWANI,MIWANI CENTRAL,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,34.97886,-0.04599,8
JAGOROR AIC ACADEMY NUR SCH,RIFT VALLEY,KERICHO,KIPKELION,LONDIANI,LEMOTIT,JAGOROR,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.52082,-0.15423,
JAGOROR AIC ACADEMY PRI SCH,RIFT VALLEY,KERICHO,KIPKELION,LONDIANI,LEMOTIT,JAGOROR,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.52082,-0.15423,
JAGOROR NUR SCH,RIFT VALLEY,KERICHO,KIPKELION,LONDIANI,LEMOTIT,JAGOROR,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.51917,-0.15309,
JAGOROR PRI SCH,RIFT VALLEY,KERICHO,KIPKELION,LONDIANI,LEMOTIT,JAGOROR,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,35.51917,-0.15309,
JAJAVO  ECD,COAST,TANA RIVER,BURA,BURA,NANIGHI,NANIGHI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,39.80432,-0.72774,0
JAJAVO  PRIMARY,COAST,TANA RIVER,BURA,BURA,NANIGHI,NANIGHI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,39.80432,-0.72774,0
JAKARANDA NURSERY,CENTRAL,NYANDARUA,OL_KALOU,OL JORO OROK,GATIMU,KANGUU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.36254,-0.04655,0
JAKARANDA NURSERY,CENTRAL,NYANDARUA,,OL JORO OROK,GATIMU,KANGUU,,,,36.36254,-0.04655,0
JAKES CENTER- ECD,NAIROBI,NAIROBI,DAGORETTI,DAGORETTI,KENYATTA/GOLF COURSE,GOLF COURSE,ECD/PRE-PRIMARY SCHOOL,PRIVATE,COMMUNITY,36.79399,-1.30721,2
JAKES CENTER- PRI. SCH,NAIROBI,NAIROBI,DAGORETTI,DAGORETTI,KENYATTA/GOLF COURSE,GOLF COURSE,PRIMARY SCHOOL,PRIVATE,COMMUNITY,36.79399,-1.30721,10
JAKI ECD,CENTRAL,NYANDARUA,NDARAGWA,NDARAGWA,KAHUTHA,KARIKI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.64314,-0.15313,1
JAKI PRI,CENTRAL,NYANDARUA,NDARAGWA,NDARAGWA,KAHUTHA,KARIKI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.64314,-0.15313,8
JAKIM KINDERGARTEN AND DAY CARE ECD,RIFT VALLEY,UASIN GISHU,ELDORET EAST,AINABKOI,KAPSOYA,KAPSOYA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.30025,0.52191,
JAKM JUNIOR SCH ECD,RIFT VALLEY,KAJIADO,KAJIADO NORTH,NGONG,KISERIAN,UPPER MATASIA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,36.68170,-1.42616,
JALARAM ACA NUR  SCH,NYANZA,KISUMU,KISUMU TOWN WEST,WINAM,KISUMU TOWN,SOUTHERN,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,34.76225,-0.11053,
JALARAM ACA PRY SCH,NYANZA,KISUMU,KISUMU TOWN WEST,WINAM,KISUMU TOWN,SOUTHERN,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,34.76225,-0.11053,
JALARAM ACA SEC  SCH,NYANZA,KISUMU,KISUMU TOWN WEST,WINAM,KISUMU TOWN,SOUTHERN,SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,34.76225,-0.11053,
JALISH BULAQOQON ECD,NORTH EASTERN,IJARA,IJARA,IJARA,JALISH,JALISH,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,40.51532,-1.67125,2
JALISH ECD CENTRE,NORTH EASTERN,IJARA,IJARA,IJARA,JALISH,JALISH,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,40.50666,-1.69704,1
JALISH PRIMARY SCHOOL,NORTH EASTERN,IJARA,IJARA,IJARA,JALISH,JALISH,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,40.50666,-1.69704,5
JALYN JNR ACADEMY - ECD,NAIROBI,NAIROBI,,KASARANI,KASARANI,KASARANI,ECD/PRE-PRIMARY SCHOOL,,,36.90704,-1.21329,0
JALYN JNR ACADEMY - PRI,NAIROBI,NAIROBI,,KASARANI,KASARANI,KASARANI,PRIMARY SCHOOL,,,36.90704,-1.21329,0
JAMAA ACADEMY,COAST,MALINDI,MAGARINI,MAGARINI,FUNDISA,FUNDISA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,40.14798,-2.85493,1
JAMAA ECD,NYANZA,KISUMU,KISUMU TOWN EAST,WINAM,KOLWA CENTRAL,KASULE,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.79632,-0.11830,
JAMAA HIGHWAY ACADEMY  PRI SCH,CENTRAL,THIKA,JUJA,MUNICIPALITY,KOMU,KAMENU,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.10257,-1.07615,10
JAMAA PRY,NYANZA,KISUMU,KISUMU TOWN EAST,WINAM,KOLWA CENTRAL,KASULE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.79632,-0.11830,
JAMBELE ADULT CENTRE,NORTH EASTERN,GARISSA,FAFI,BURA,BURA,BURA,ADULT EDUCATION CENTRE,PUBLIC,COMMUNITY,39.91565,-1.01127,0
JAMBELE PRE-SCHOOL,NORTH EASTERN,GARISSA,FAFI,BURA,BURA,BURA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,39.91565,-1.01127,1
JAMBELE PRIMARY,NORTH EASTERN,GARISSA,FAFI,BURA,BURA,BURA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,39.91565,-1.01127,3
JAMBIANI NURSERY SCH,COAST,MALINDI,MAGARINI,MAGARINI,FUNDISA,FUNDISA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,40.14398,-2.93401,2
JAMBO JUNIOR ACADEMY NUR,COAST,MOMBASA MUNICIPALITY,KISAUNI,KISAUNI,KISAUNI,KISAUNI,ECD/PRE-PRIMARY SCHOOL,,,39.68802,-4.02122,0
JAMBO TOTO ACADEMY ECD,NAIROBI,NAIROBI,KASARANI,KASARANI,KOROGOCHO,NYAYO,NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,PRIVATE,NGO/CBO,36.88512,-1.25334,3
JAMBO TOTO ACADEMY PRI,NAIROBI,NAIROBI,KASARANI,KASARANI,KOROGOCHO,NYAYO,NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,PRIVATE,NGO/CBO,36.88512,-1.25334,7
JAMEPA ACADEMY ECD,EASTERN,MACHAKOS,,MAVOKO,SETTLED AREA,ATHI RIVER TOWNSHIP,,,,36.98585,-1.45977,0
JAMES BRIDGE ACADEMY ECD,NYANZA,BONDO,BONDO,USIGU,W. YIMBO,USENGE,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.06039,-0.06137,1
JAMES GICHURU PRI SCH,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,DANDORA,DANDORA 'A',ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.89591,-1.25037,3
JAMES GICHURU PRI SCH,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,DANDORA,DANDORA 'A',PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.89591,-1.25037,27
JAMES MWEI SEC,WESTERN,BUNGOMA,KIMILILI,TONGAREN,NDALU,MITUA,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,35.01768,0.82091,7
JAMES NJENGA ECD,CENTRAL,THIKA,GATUNDU NORTH,KAMWANGI,GITHOBIKONI,NJAHI,PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.82640,-0.94504,2
JAMES NJENGA PRI SCH,CENTRAL,THIKA,GATUNDU NORTH,KAMWANGI,GITHOBOKONI,NJAHI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.82640,-0.94504,10
JAMHURI ECD,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA,NAIVASHA TOWN,SOKONI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.43515,-0.70771,
JAMHURI ECD,RIFT VALLEY,NAKURU,NAKURU TOWN,NAKURU MUNI.,LANET,LANET,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.08217,-0.28427,
JAMHURI ECD,RIFT VALLEY,NAKURU,RONGAI,BAHATI,SOLAI,NYANDUNDO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.12604,-0.07781,
JAMHURI HIGH SCH,NAIROBI,NAIROBI,,CENTRAL,NGARA,NGARA WEST,SECONDARY SCHOOL,,,36.82257,-1.26970,0
JAMHURI NUR SCH,CENTRAL,THIKA,JUJA,MUNICIPALITY,THIKA MUNICIPALITY,MAJENGO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,37.08247,-1.03994,1
JAMHURI PRI SCH,CENTRAL,THIKA,JUJA,MUNICIPALITY,THIKA MUNICIPALITY,MAJENGO,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,37.08347,-1.03994,16
JAMHURI PRIMARY,RIFT VALLEY,NAKURU,NAKURU TOWN,NAKURU MUNI.,LANET,LANET,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,36.08217,-0.28427,
JAMHURI PRIMARY,RIFT VALLEY,NAKURU,RONGAI,BAHATI,SOLAI,NYANDUNDO,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.12604,-0.07781,
JAMHURI TECHNICAL INSTITUTE,EASTERN,MACHAKOS,MACHAKOS TOWN,CENTRAL,MUTITUNI,MUTITUNI,TECHNICAL TRAINING INSTITUTE,PRIVATE,PRIVATE INDIVIDUAL,37.24838,-1.44978,3
JAMIA MOSQUE MADRASSA,EASTERN,MOYALE,MOYALE,CENTRAL - MOYALE,BUTIYE,BUTIYE,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,39.05151,3.51158,1
JAMIA NURSERY SCHOOL,EASTERN,MACHAKOS,MACHAKOS TOWN,CENTRAL,TOWNSHIP,MJINI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,CENTRAL GOVERNMENT/DEB,37.26995,-1.51558,2
JAMII ACADEMY NUR SCH,NAIROBI,NAIROBI,LANGATA,KIBERA,SERA NGOMBE,OLYMPIC,ECD/PRE-PRIMARY SCHOOL,PRIVATE,M,36.78057,-1.31129,1
JAMII ACADEMY PRI,NAIROBI,NAIROBI,LANGATA,KIBERA,SERA NGOMBE,OLYMPIC,PRIMARY SCHOOL,PRIVATE,COMMUNITY,36.78057,-1.31129,1
JAMII COMMUNITY CENTER ECD,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,EMBAKASI,MUKURU KWA NJENGA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.88882,-1.30979,3
JAMII COMMUNITY CENTER PRI,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,MUKURU KWA NJENGA,MUKURU KWA NJENGA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.88882,-1.30979,9
JAMII COMMUNITY CENTER SEC,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,EMBAKASI,MUKURU KWA NJENGA,NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,PRIVATE,PRIVATE INDIVIDUAL,36.88882,-1.30672,2
JAMII ECD,RIFT VALLEY,NAKURU,NAKURU TOWN,NAKURU MUNI.,LANET,LANET,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.06174,-0.31664,
JAMII NUR SCH,RIFT VALLEY,LAIKIPIA,LAIKIPIA EAST,CENTRAL - LAIKIPIA,NANYUKI,MAJENGO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,37.07058,0.01786,
JAMJI ESTATE UPPER NUR SCH,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,KIPTETAN,ECD/PRE-PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,35.18693,-0.47062,
JAMJI FACTORY NUR SCH,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,KIPTETAN,ECD/PRE-PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,35.18287,-0.47488,
JAMJI LOWER NUR SCH,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,KIPTETAN,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.17534,-0.46218,
JAMJI PRI SCH,RIFT VALLEY,KERICHO,BELGUT,BELGUT,CHAIK,KIPTETAN,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,35.17534,-0.46218,
JAMMAA ACADEMY,COAST,MALINDI,MAGARINI,MAGARINI,FUNDISA,MARERENI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,40.14798,-2.85493,8
JAMOSTAR ECD,RIFT VALLEY,NAROK,NAROK NORTH,CENTRAL - NAROK,LOWER MELILI,TOWNSHIP,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.85930,-1.09564,
JAMOSTY EMAUS NUR SCH,EASTERN,MACHAKOS,MWALA,MWALA,KATHAMA,MUTHWANI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,37.37236,-1.20966,2
JAMUAN ACADEMY - ECD,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,MWIKI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,COMMUNITY,36.92988,-1.22781,7
JAMUAN ACADEMY - PRI,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,MWIKI,PRIMARY SCHOOL,PRIVATE,COMMUNITY,36.92988,-1.22781,7
JAMUHURI PRI SCH,NAIROBI,NAIROBI,DAGORETTI,DAGORETTI,KENYATTA/GOLF COURSE,KENYATTA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.76567,-1.30001,3
JAMUHURI PRY,NAIROBI,NAIROBI,DAGORETTI,DAGORETTI,KENYATTA/GOLF COURSE,KENYATTA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,36.76567,-1.30001,24
JAMULONGOJI  ECD,WESTERN,VIHIGA,HAMISI,TIRIKI EAST,SHAVIRINGA,MULUNDU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.83679,0.15086,1
JAMULONGOJI  PRI. SCH.,WESTERN,VIHIGA,HAMISI,TIRIKI EAST,SHAVIRINGA,MULUNDU,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.83679,0.15086,8
JAMVI LA WAGENI BAPTIST NUR SCH,COAST,MOMBASA MUNICIPALITY,LIKONI,LIKONI,LIKONI,BOFU,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,39.64817,-4.08113,2
JAMVI LA WAGENI NUR SCH,COAST,MOMBASA MUNICIPALITY,LIKONI,LIKONI,LIKONI,BOFU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,39.64817,-4.08113,3
JAMVI LA WAGENI PRI SCH,COAST,MOMBASA MUNICIPALITY,LIKONI,LIKONI,LIKONI,BOFU,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,39.64817,-4.08113,17
JAN KIBOGY ECD,RIFT VALLEY,UASIN GISHU,ELDORET SOUTH,KESSES,OL'LEINGUSE,LEINGUSE,ECD/PRE-PRIMARY SCHOOL,PRIVATE,COMMUNITY,35.39363,0.18683,
JANE AND HILDA ACA ECD,RIFT VALLEY,LAIKIPIA,LAIKIPIA EAST,CENTRAL - LAIKIPIA,MARURA,MARURA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.05104,-0.00338,
JANE AND HILDA ACADEMY PRY,RIFT VALLEY,LAIKIPIA,LAIKIPIA EAST,CENTRAL - LAIKIPIA,MARURA,MARURA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.05104,-0.00338,
JANEIRO JUNIOR ACADEMY ECD,NYANZA,HOMA BAY,RANGWE,LOWER NYOKAL,WEST KOCHIA,KAURA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,,34.54192,-0.47728,0
JANEIRO JUNIOR ACADEMY PRY SCH,NYANZA,HOMA BAY,RANGWE,LOWER NYOKAL,WEST KOCHIA,KAURA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.54192,-0.47728,10
JANES JUNIOR SCH,COAST,KWALE,MATUGA,MATUGA,GOLINI,GOLINI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,39.46226,-4.17236,1
JANET ECD,CENTRAL,NYANDARUA,OL_KALOU,OL KALOU,DUNDORI,MELANGINE,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.23806,-0.21190,2
JANET JNR ECD,RIFT VALLEY,NAKURU,NAIVASHA,GILGIL,GILGIL,GILGIL,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.31842,-0.50464,
JANET ORPHANS NON FORMAL SCH,NYANZA,KISUMU,KISUMU TOWN WEST,WINAM,KISUMU TOWN,SOUTHERN,NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,34.75318,-0.12180,
JANET PRIDE NUR SCH,RIFT VALLEY,LAIKIPIA,LAIKIPIA WEST,NGARUA,KINAMBA,MWENJE,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.31747,0.41950,
JANET PRIMARY,CENTRAL,NYANDARUA,OL_KALOU,OL KALOU,DUNDORI,MELANGINE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.23806,-0.21190,11
JANGOE ECD,NYANZA,MIGORI,NYATIKE,KARUNGU,KARUNGU SOUTH EAST,OKAYO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.25565,-0.82187,1
JANGOE PRY SCH,NYANZA,MIGORI,NYATIKE,KARUNGU,KARUNGU SOUTH EAST,NGIRA,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.25565,-0.82187,8
JANKA ACADEMY ECD,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,MUKURU KWA NJENGA,MUKURU KWA NJENGA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.89334,-1.31755,0
JANS JUNIOR ACADEMY NUR SCH,NYANZA,KISUMU,KISUMU WEST,WINAM,KISUMU EAST,KOGONY,ECD/PRE-PRIMARY SCHOOL,PRIVATE,NGO/CBO,34.73459,-0.06098,
JANS JUNIOR ACADEMY PRY SCH,NYANZA,KISUMU,KISUMU WEST,WINAM,KISUMU EAST,KOGONY,PRIMARY SCHOOL,PRIVATE,NGO/CBO,34.73459,-0.06098,
JAN'S ORPHANAGE ECD,NYANZA,SIAYA,GEM,YALA URBAN,YALA TOWNSHIP,JINA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,NGO/CBO,34.55174,0.08784,2
JANS SENIOR ACADEMY SEC SCH,NYANZA,KISUMU,KISUMU WEST,WINAM,KISUMU EAST,KOGONY,SECONDARY SCHOOL,PRIVATE,NGO/CBO,34.73411,-0.06105,
JANSIL JUNIOR SCH-ECD,RIFT VALLEY,KAJIADO,KAJIADO NORTH,NGONG,NKAIMORONYA,ONGATA RONGAI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,36.76036,-1.39102,
JANSIL JUNIOR SCH-PRI,RIFT VALLEY,KAJIADO,KAJIADO NORTH,NGONG,NGONG,ONGATA RONGAI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,36.76036,-1.39102,
JANSTIFF JUNIOR SCH. ECD,EASTERN,MBEERE,GACHOKA,GACHOKA,MBETI SOUTH,GACHURIRI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.48774,-0.68287,1
JANSTIFF JUNIOR SCH. PRI.,EASTERN,MBEERE,GACHOKA,GACHOKA,MBETI SOUTH,GACHURIRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.48774,-0.68287,0
JAPATA ECD,RIFT VALLEY,TRANS NZOIA,KWANZA,ENDEBESS,CHEPCHOINA,KAPTEGA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.80056,1.21040,
JAPATA SEC SCH,RIFT VALLEY,TRANS NZOIA,KWANZA,ENDEBESS,CHEPCHOINA,KAPTEGA,SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,34.80829,1.20676,
JARAJARA ECD,NORTH EASTERN,GARISSA,DUJIS,BALAMBALA,JARAJARA,JARAJARA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,39.00884,-0.04098,1
JARAJARA PRI SCH,NORTH EASTERN,GARISSA,DUJIS,BALAMBALA,JARAJARA,JARAJARA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,39.00884,-0.04098,4
JARAMOGI OGINGA ODINGA SEC SCH,NYANZA,BONDO,BONDO,MARANDA,TOWNSHIP,NYAWITA,SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.23368,-0.10001,3
JARAMOGI OGINGA ODINGA TAMU SEC SCH,NYANZA,NYANDO,MUHORONI,MUHORONI,TAMU,SONGHOR EAST,SECONDARY SCHOOL,PUBLIC,COMMUNITY,35.20187,-0.09790,0
JARIBU ECD,RIFT VALLEY,NAKURU,NAIVASHA,GILGIL,KIAMBOGO,KIAMBOGO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,36.10035,-0.61993,
JARIBU ECD,NORTH EASTERN,GARISSA,DUJIS,CENTRAL - GARISSA,TOWNSHIP,MEDINA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,39.63834,-0.44520,3
JARIBU JUNIOR ACADEMY ECD,NYANZA,GUCHA,BOBASI,SAMETA,BASSI CHACHE,BOGETAORIO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.74093,-0.75182,9
JARIBU JUNIOR ACADEMY PRI,NYANZA,GUCHA,BOBASI,SAMETA,BASSI CHACHE,BOGETAORIO,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.74093,-0.75182,9
JARIBU PRE-SCHOOL,EASTERN,MWINGI,MWINGI NORTH,CENTRAL,MWINGI,ENZIU,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,38.17352,-0.90281,1
JARIBU PRIMARY,NORTH EASTERN,GARISSA,DUJIS,CENTRAL - GARISSA,TOWNSHIP,MEDINA,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,39.63834,-0.44520,29
