Name,PROVINCE,DISTRICT,COSTITUENCY,DIVISION,LOCATION,SUBLOCATIO,Level,Status,Sponsor,Longitude,Latitude,# Classrooms
ST. JONATHAN ECD,NYANZA,MIGORI,RONGO,RONGO,WEST KAMAGAMBO,KANYAMAMBA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.58711,-0.83130,1
ST. Joseph ACADEMY,CENTRAL,THIKA,GATUNDU SOUTH,GATUNDU,KIAMWANGI,Nembu,PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.88552,-1.05129,3
ST. JOSEPH ACADEMY SEC SCH,WESTERN,KAKAMEGA,LURAMBI,MUNICIPALITY,BUKHUNGU,SHIRERE,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.74499,0.28039,6
ST. JOSEPH ALAMANO ECD,EASTERN,EMBU,MANYATTA,NEMBURE,KITHIMU,KITHEGI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.57962,-0.51442,1
ST. JOSEPH ALAMANO PRI SCH,EASTERN,EMBU,MANYATTA,NEMBURE,KITHIMU,KITHEGI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.57962,-0.51442,11
ST. JOSEPH ALLAMANO SEC,CENTRAL,NYERI,KIENI,KIENI EAST,KABARU,NDATHI,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.08197,-0.31950,4
ST. JOSEPH ANNEX ECD,RIFT VALLEY,NAKURU,NAKURU TOWN,NAKURU MUNI.,LANET,LANET,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.05689,-0.32614,
ST. JOSEPH BUMALA HIGH SCH,WESTERN,BUSIA,BUTULA,BUTULA,BUMALA,BUMALA 'A',SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,34.19902,0.30397,2
ST. JOSEPH BUMUTIRU SEC,WESTERN,BUSIA,BUTULA,BUTULA,MARACHI CENTRAL,ESIKOMA,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.26166,0.37176,8
ST. JOSEPH CATHOLIC ECD,COAST,MALINDI,MAGARINI,MAGARINI,MARAFA,BOMANI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,39.96003,-3.02585,0
ST. JOSEPH CATHOLIC ECD,CENTRAL,MURANGA,KIHARU,KIHARU,MBIRI,MUCHUNGUCHA,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.10532,-0.75631,1
ST. JOSEPH CHAKA NURSERY,CENTRAL,NYERI,KIENI,KIENI EAST,THIGU,THUNGARI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,36.99843,-0.35236,2
ST. JOSEPH ECD,WESTERN,KAKAMEGA,MALAVA,KABRAS,SHIVANGA,TOMBO,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.82286,0.54932,0
ST. JOSEPH ECD,EASTERN,EMBU,RUNYENJES,NEMBURE,MAKENGI,KEVOTE,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.51849,-0.43056,1
ST. JOSEPH ECD,CENTRAL,NYANDARUA,KINANGOP,NORTH KINANGOP,ENGINEER,MIURUAKI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.55939,-0.63713,1
ST. JOSEPH ECD,CENTRAL,MARAGUA,MARAGWA,MARAGUA,ICHAGAKI,KIANJIRUINI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.11545,-0.81109,1
ST. JOSEPH JUNIOR ECD,RIFT VALLEY,NAKURU,MOLO,NJORO,NJORO,NJORO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.97582,-0.43758,
ST. JOSEPH KAINDU ECD,EASTERN,KITUI,KITUI SOUTH,MUTOMO,MATHIMA,KIIMANI,ECD/PRE-PRIMARY SCHOOL,PRIVATE,COMMUNITY,38.27366,-1.84475,0
ST. JOSEPH KAINDU PRIMARY,EASTERN,KITUI,KITUI SOUTH,MUTOMO,MATHIMA,KIIMANI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,38.27366,-1.84475,0
ST. JOSEPH KIVUKONI PRE-SCHOOL,COAST,TAITA TAVETA,TAVETA,TAVETA,CHALA,CHALA,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,37.74708,-3.26057,1
ST. JOSEPH KIVUKONI PRIMARY,COAST,TAITA TAVETA,TAVETA,TAVETA,CHALA,CHALA,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.74708,-3.26057,6
ST. JOSEPH KOCHOLIA SEC SCH,WESTERN,TESO,AMAGORO,AMAGORO,KOCHOLIA,KOCHOLIA,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.34838,0.62466,7
ST. JOSEPH LAIKIPIA ACA ECD,RIFT VALLEY,LAIKIPIA,LAIKIPIA WEST,NGARUA,KINAMBA,MWENJE,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.29431,0.42743,
ST. JOSEPH LAIKIPIA ACA PRY,RIFT VALLEY,LAIKIPIA,LAIKIPIA WEST,NGARUA,KINAMBA,MWENJE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,36.29431,0.42743,
